Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,S888,e_S888,S400,e_S400,S1400,e_S1400,DSError,S150,e_S150,S200,e_S200,S3000,e_S3000,alpha,e_alpha
J0030+0451,00,30,27.2,+,04,51,41,2.193,0.796,7.9,0.2,1.09,0.03,1.736,44.9,4.5,,,,,-1.58,0.03
J0151-0635,01,51,22.7,-,06,35,03,11.457,0.654,38.0,15.0,1.6,0.3,1.204,28.9,5.0,,,,,-3.12,0.319
J0152-1637,01,52,10.7,-,16,37,53,4.066,0.39,20.0,4.0,2.1,0.4,1.063,88.4,7.0,,,,,-1.84,0.217
J0323+3944,03,23,26.5,+,39,44,46,5.371,0.599,34.0,7.0,0.9,0.2,0.463,104.7,7.5,,,,,-2.74,0.233
J0437-4715,04,37,15.9,-,47,15,10,372.324,0.927,550.0,100.0,150.2,1.6,233.558,313.9,8.9,,,,,-1.98,0.024
J0450-1248,04,50,08.7,-,12,48,06,4.288,0.465,11.0,1.0,1.2,0.2,0.316,64.1,4.2,,,,,-1.54,0.131
J0452-1759,04,52,34.0,-,17,59,22,50.327,0.562,82.0,10.0,16.8,3.4,3.395,111.2,6.4,96.0,7.0,3.83,0.313,-0.81,0.145
J0525+1115,05,25,56.3,+,11,15,20,3.654,0.965,19.5,0.9,1.94,0.02,0.076,31.8,5.6,,,,,-1.84,0.038
J0528+2200,05,28,52.2,+,22,00,04,13.557,2.192,57.0,5.0,8.9,1.8,0.46,,,,,1.54,0.377,-1.59,0.152
J0538+2817,05,38,24.9,+,28,17,11,6.241,0.497,8.2,0.2,1.9,0.1,0.274,,,,,0.86,0.247,-1.06,0.044
J0543+2329,05,43,09.7,+,23,29,07,15.698,0.674,29.0,1.0,10.7,0.7,0.216,,,,,4.71,0.245,-0.79,0.051
J0601-0527,06,01,58.9,-,05,27,49,6.097,0.371,22.7,0.9,2.6,0.5,0.053,32.5,5.5,,,0.0,0.0,-1.67,0.082
J0614+2229,06,14,16.9,+,22,29,58,8.439,0.915,29.0,1.0,3.3,0.2,0.115,,,,,,,-1.72,0.054
J0629+2415,06,29,05.6,+,24,15,41,8.843,0.825,31.0,2.0,3.2,0.4,0.122,,,,,,,-1.73,0.098
J0630-2834,06,30,49.3,-,28,34,42,45.149,0.417,206.0,22.0,31.9,6.4,17.272,337.6,5.3,463.0,5.0,8.32,0.325,-1.81,0.128
J0659+1414,06,59,48.3,+,14,14,23,3.388,0.547,6.5,0.6,2.7,0.2,0.937,,,,,,,-0.7,0.094
J0729-1836,07,29,32.4,-,18,36,42,4.789,0.653,11.2,0.7,1.9,0.5,0.27,,,,,,,-1.21,0.148
J0742-2822,07,42,49.0,-,28,22,43,69.694,1.334,296.0,14.0,26.0,2.0,10.584,392.7,6.2,,,10.04,0.533,-1.86,0.058
J0754+3231,07,54,40.6,+,32,31,55,2.973,0.58,8.0,1.0,0.6,0.3,0.17,,,,,,,-1.5,0.251
