PSRJ,S728,S1382,S3100,class
J0401-7608,4 ± 2,-,0.8 ± 0.5,pl
J0437-4715,300 ± 200,160 ± 20,30 ± 30,broken pl
J0511-6508,1.3 ± 0.7,0.6 ± 0.2,< 0.1,-
J0519-6932,-,0.14 ± 0.04,-,-
J0536-7543,11 ± 7,-,3 ± 2,pl
J0543+2329,25 ± 2,10.7 ± 0.7,3.0 ± 0.2,broken pl
J0601-0527,6 ± 2,-,0.6 ± 0.2,pl
J0614+2229,8.8 ± 0.8,3.3 ± 0.2,0.76 ± 0.06,pl
J0624-0424,3.0 ± 1.0,-,< 0.05,pl
J0627+0706,3.8 ± 0.2,1.39 ± 0.08,0.31 ± 0.05,pl
J0630-2834,180 ± 90,-,1.6 ± 0.8,low turn-over
J0656-2228,0.9 ± 0.4,3.0 ± 1.0,0.3 ± 0.2,pl
J0659+1414,3.9 ± 0.8,2.7 ± 0.2,1.6 ± 0.3,lps
J0711-6830,7 ± 4,5 ± 3,1.0 ± 0.7,lps
J0721-2038,0.5 ± 0.2,0.21 ± 0.07,-,-
J0729-1448,2.1 ± 0.2,0.83 ± 0.06,0.19 ± 0.02,pl
J0729-1836,4.0 ± 1.0,1.9 ± 0.5,0.5 ± 0.2,pl
J0737-3039B,-,< 0.1,-,-
J0742-2822,90 ± 30,26 ± 2,6.8 ± 0.5,broken pl
J0745-5353,12.0 ± 0.7,5.0 ± 0.2,1.21 ± 0.07,pl
J0751+1807,-,-,< 0.06,pl
J0758-1528,4.0 ± 1.0,2.6 ± 0.8,1.4 ± 0.5,pl
J0809-4753,21 ± 9,2.6 ± 0.6,0.46 ± 0.07,low turn-over
J0812-3905,1.6 ± 0.2,0.38 ± 0.09,< 0.1,-
J0818-3049,1.3 ± 0.3,0.33 ± 0.09,< 5.0,-
J0818-3232,2.4 ± 0.4,1.4 ± 0.4,0.18 ± 0.04,pl
J0820-1350,27 ± 8,6 ± 2,1.4 ± 0.7,broken pl
J0820-3826,1.27 ± 0.08,0.49 ± 0.03,0.093 ± 0.007,pl
J0820-4114,20 ± 10,5.0 ± 1.0,1.0 ± 0.4,lps
J0823+0159,4 ± 3,4 ± 2,0.4 ± 0.3,lps
J0834-4159,0.82 ± 0.08,0.28 ± 0.02,0.08 ± 0.01,pl
J0835-4510,3100 ± 200,1050 ± 60,170 ± 20,broken pl
J0837+0610,13 ± 6,5.0 ± 1.0,0.2 ± 0.1,low turn-over
J0837-4135,110 ± 30,35 ± 9,8 ± 2,broken pl
J0840-5332,23 ± 9,1.7 ± 0.5,0.26 ± 0.07,broken pl
J0846-3533,12 ± 2,5.0 ± 1.0,0.7 ± 0.1,pl
J0855-3331,3.5 ± 0.7,-,0.11 ± 0.02,pl
J0855-4644,0.57 ± 0.05,0.28 ± 0.02,0.105 ± 0.006,pl
J0856-6137,3.1 ± 0.6,3.3 ± 0.7,0.11 ± 0.02,broken pl
J0857-4424,3.3 ± 0.2,0.98 ± 0.05,0.23 ± 0.02,pl
J0900-3144,6.0 ± 1.0,3.0 ± 1.0,0.9 ± 0.2,pl
J0901-4624,0.7 ± 0.1,0.51 ± 0.03,0.18 ± 0.02,pl
J0904-7459,8 ± 2,2.0 ± 0.7,0.3 ± 0.1,pl
J0905-5127,3.4 ± 0.5,1.05 ± 0.06,0.22 ± 0.03,pl
J0907-5157,30 ± 6,17 ± 5,5.8 ± 0.9,lps
J0908-1739,10 ± 4,4 ± 2,0.7 ± 0.4,pl
J0908-4913,33 ± 5,20.0 ± 1.0,7.8 ± 0.6,lps
J0909-7212,3.0 ± 1.0,1.9 ± 0.5,< 0.3,pl
J0922+0638,17 ± 9,10 ± 3,1.3 ± 0.6,low turn-over
J0922-4949,1.5 ± 0.2,-,0.32 ± 0.04,pl
J0924-5302,9 ± 9,1.1 ± 0.3,0.2 ± 0.1,pl
J0924-5814,11 ± 3,6 ± 2,1.5 ± 0.5,pl
J0934-5249,22 ± 9,3.2 ± 0.9,0.2 ± 0.04,lps
J0940-5428,1.5 ± 0.2,0.66 ± 0.04,0.3 ± 0.02,pl
J0942-5552,26 ± 7,11 ± 3,2.0 ± 0.3,broken pl
