PSRB,S325,E1_S325,E2_S325,PSRJ
B0114+58,13.8,1.6,3.9,J0117+5914
B0136+57,36.7,2.5,3.7,J0139+5814
B0138+59,74,9,3.5,J0141+6009
J0218+4232,150,50,4.4,J0218+4232
B0320+39,57,12,3.9,J0323+3944
B0329+54,2510,380,5,J0332+5434
B0355+54,60,10,3.4,J0358+5413
B0402+61,22.5,1.5,5.2,J0406+6138
B0450+55,70,11,3.5,J0454+5543
B0809+74,122,29,8.4,J0814+7429
B1508+55,184,11,3,J1509+5531
B1839+56,31,5,3.8,J1840+5640
B1946+35,307,15,6.8,J1948+3540
B2021+51,102,22,4.8,J2022+5154
B2053+36,45.5,1.7,4,J2055+3630
B2106+44,41.5,2.6,4.4,J2108+4441
B2111+46,366,21,4,J2113+4644
B2148+63,50.6,3.2,4.1,J2149+6329
B2148+52,19.4,1.1,3.8,J2150+5247
B2154+40,142,10,3.6,J2157+4017
B2217+47,210,41,3.5,J2219+4754
B2224+65,34.5,3.7,4,J2225+6535
B2255+58,52.7,2.8,8,J2257+5909
B2310+42,122,16,3.6,J2313+4253
B2319+60,71,8,11.9,J2321+6024
B0037+56,10.3,0.7,3.6,J0040+5716
B0053+47,4.2,0.6,3.5,J0056+4756
B0105+68,5.6,0.8,3.5,J0108+6905
B0153+39,6.7,1.8,3.5,J0156+3949
B0154+61,8.4,1.1,4,J0157+6212
B0353+52,19,3,3.9,J0357+5236
B0458+46,18.4,1,4.6,J0502+4654
B0609+37,21,3,3.8,J0612+3721
J1518+4904,8,4,3,J1518+4904
B1905+39,40,5,3.8,J1907+4002
B1953+50,37,6,6.5,J1955+5059
B2227+61,28.6,1.7,4.7,J2229+6205
B2323+63,11,3,6,J2325+6316
B2324+60,21.7,1.8,8.9,J2326+6113
B0011+47,19,5,3.3,J0014+4746
B0045+33,3.5,0.5,3.5,J0048+3412
B0052+51,4.1,0.5,3.9,J0055+5117
B0059+65,11.4,1.3,3.2,J0102+6537
B0105+65,14.6,1.9,3.2,J0108+6608
B0144+59,7,0.5,3.4,J0147+5922
B0226+70,3.5,0.4,3.5,J0231+7026
B0331+45,14,3,4.2,J0335+4555
B0339+53,4.9,1,4,J0343+5312
B0410+69,10.5,0.7,4.2,J0415+6954
B0643+80,11.2,1.8,1.9,J0653+8051
B0751+32,12.4,2.5,3.5,J0754+3231
B0841+80,1.5,0,2.1,J0849+8028
B0917+63,6.9,1.4,3.5,J0921+6254
J1012+5307,30,30,4.2,J1012+5307
B1322+83,15,7,2.2,J1321+8323
B1639+36A,3,0,4.3,J1641+3627A
B1753+52,5.1,1.1,3.8,J1754+5201
B1811+40,18.4,1,3.3,J1813+4013
B2000+32,8.3,0.5,7.3,J2002+3217
B2002+31,27.9,1.8,7.8,J2004+3137
B2011+38,34.3,1.8,8.5,J2013+3845
B2022+50,7.1,0.8,4.8,J2023+5037
B2027+37,27,3,7.4,J2029+3744
B2035+36,8.7,2.2,7,J2037+3621
B2036+53,4.6,0.8,5.4,J2038+5319
B2045+56,6.6,1.8,4.8,J2046+5708
B2241+69,3.6,1.4,4.2,J2242+6950
B2303+30,38,4,3.7,J2305+3100
B2303+46,1.7,0.7,3.8,J2305+4707
B2334+61,16,4,6.9,J2337+6151
B2351+61,23,4,5.5,J2354+6155
