PSRJ,FREQ,FLUX,FLUX_ERR
J0014+4746,4850,0.46,0.1
J0014+4746,1700,2.28,0.2
J0014+4746,1400,2.8,1.3
J0014+4746,600,8.8,2.1
J0014+4746,400,14.3,2.3
J0034-0721,4850,1.85,0
J0034-0721,1400,2,0
J0034-0721,10700,0.22,0.09
J0034-0721,2700,5.8,0.6
J0034-0721,1400,10.8,3.4
J0034-0721,400,51.5,12
J0034-0721,600,50.8,19.3
J0034-0721,100,400,70
J0034-0721,60,460,100
J0034-0721,90,740,160
J0034-0721,40,490,210
J0040+5716,1400,0.6,0
J0040+5716,4850,0.08,0.01
J0040+5716,1400,0.6,0.1
J0040+5716,1600,0.6,0.1
J0040+5716,600,2.9,0.1
J0040+5716,400,7.5,0.5
J0040+5716,100,24,15
J0048+3412,1400,0.1,0.03
J0048+3412,600,1.1,0.3
J0048+3412,400,2.3,0.3
J0055+5117,4850,0.1,0
J0055+5117,1400,1,0
J0055+5117,1700,1.75,0
J0055+5117,1400,1.5,0.2
J0055+5117,600,2.8,0.3
J0055+5117,400,3.4,0.4
J0055+5117,100,23,12
J0056+4756,4850,0.06,0.01
J0056+4756,400,3,0.5
J0056+4756,600,1.9,0.6
J0056+4756,100,80,26
J0102+6537,1600,0.8,0.2
J0102+6537,1400,1.2,0.2
J0102+6537,1400,1.1,0.33
J0102+6537,600,3.4,0.4
J0102+6537,400,8.5,0.8
J0102+6537,100,77,42
J0108+6608,1400,0.9,0.2
J0108+6608,600,4.1,0.3
J0108+6608,400,9.8,1
J0108+6608,100,30,10
J0108+6905,1400,0.4,0.1
J0108+6905,1400,0.5,0.15
J0108+6905,400,3.7,0.4
J0108+6905,600,2.1,0.7
J0117+5914,1400,0.3,0.1
J0117+5914,600,2.6,0.2
J0117+5914,900,1.5,0.5
J0117+5914,400,7.6,0.6
J0139+5814,10500,0.07,0
J0139+5814,8500,0.43,0
J0139+5814,2300,1.45,0
J0139+5814,1400,7.4,0
J0139+5814,4850,0.2,0.09
J0139+5814,1600,4.5,0.4
J0139+5814,1400,4.6,0.4
J0139+5814,600,15.4,0.7
J0139+5814,900,10.9,0.8
J0139+5814,400,27.7,2.2
J0139+5814,100,181,85
J0141+6009,4850,0.31,0
J0141+6009,1400,6.8,0
J0141+6009,1400,4.5,0.9
J0141+6009,600,22.5,1.9
J0141+6009,900,12.5,2.4
