PSRJ,FREQ,FLUX,FLUX_ERR
J0034-0721, 80.0, 869.610408951138, 652.208
J0034-0721, 408.0, 53.02502493604499, 39.769
J0034-0721, 410.0, 47.72252244244049, 23.861
J0034-0721, 410.0, 26.512512468022496, 19.884
J0034-0721, 1420.0, 20.149509475697098, 10.075
J0034-0721, 1665.0, 6.3630029923253995, 4.772
J0034-0721, 2388.0, 2.0149509475697096, 1.511
J0332+5434, 81.5, 419.8624616160001, 314.897
J0332+5434, 151.0, 1119.633230976, 839.725
J0332+5434, 408.0, 1399.5415387200003, 1049.656
J0332+5434, 410.0, 1679.4498464640003, 839.725
J0332+5434, 610.0, 1399.5415387200003, 1049.656
J0332+5434, 1415.0, 132.95644617840003, 33.239
J0332+5434, 1420.0, 279.908307744, 209.931
J0332+5434, 1420.0, 699.7707693600001, 524.828
J0332+5434, 1420.0, 111.96332309760001, 55.982
J0332+5434, 1420.0, 123.15965540736002, 61.58
J0332+5434, 1420.0, 239.32160312112003, 119.661
J0332+5434, 1665.0, 95.16882463296001, 71.377
J0332+5434, 2388.0, 69.27730616664, 17.319
J0332+5434, 2388.0, 81.733225861248, 20.433
J0332+5434, 2700.0, 50.38349539392001, 12.596
J0332+5434, 4850.0, 8.957065847808002, 6.718
J0332+5434, 8078.0, 8.397249232320002, 2.099
J0332+5434, 8100.0, 20.013444003696005, 5.003
J0332+5434, 10690.0, 0.979679077104, 0.735
J0528+2200, 53.0, 84.90099255385199, 63.676
J0528+2200, 73.8, 119.875929737986, 89.907
J0528+2200, 111.5, 80.0952759942, 60.071
J0528+2200, 196.5, 40.0476379971, 30.036
J0528+2200, 320.0, 133.492126657, 100.119
J0528+2200, 410.0, 93.44448865989999, 70.083
J0528+2200, 430.0, 45.120338810065995, 33.84
J0528+2200, 606.0, 33.106047410936, 24.83
J0528+2200, 1420.0, 20.02381899855, 15.018
J0528+2200, 2388.0, 3.7911763970587997, 2.843
J0534+2200, 147.0, 12877.176890000002, 6438.588
J0534+2200, 158.75, 11230.096125000002, 5615.048
J0534+2200, 196.0, 5989.384600000001, 4492.038
J0534+2200, 196.5, 6288.853830000001, 4716.64
J0534+2200, 281.0, 1677.0276880000004, 838.514
J0534+2200, 410.0, 479.1507680000001, 239.575
J0534+2200, 430.0, 808.5669210000001, 404.283
J0534+2200, 611.0, 215.61784560000004, 107.809
J0534+2200, 1664.0, 4.492038450000001, 1.123
J0630-2834, 80.0, 1928.611487664, 964.306
J0630-2834, 150.0, 273.21996075239997, 204.915
J0630-2834, 408.0, 401.79405993, 301.346
J0630-2834, 408.0, 803.58811986, 602.691
J0630-2834, 1420.0, 128.5740991776, 96.431
J0630-2834, 1420.0, 29.73276043482, 14.866
J0630-2834, 2388.0, 13.66099803762, 6.83
J0630-2834, 2650.0, 23.30405547594, 17.478
J0630-2834, 8078.0, 1.20538217979, 0.603
J0814+7429, 81.5, 928.61903084292, 696.464
J0814+7429, 151.0, 309.53967694764, 232.155
J0814+7429, 408.0, 154.76983847382, 116.077
J0814+7429, 410.0, 81.25416519875549, 60.941
J0814+7429, 610.0, 77.38491923691, 58.039
J0814+7429, 1420.0, 19.3462298092275, 14.51
J0814+7429, 1665.0, 6.1907935389528, 4.643
J0814+7429, 2700.0, 10.060039500798299, 2.515
J0826+2637, 53.0, 880.03533278981, 220.009
J0826+2637, 73.8, 589.83096180559, 147.458
J0826+2637, 80.0, 716.0887076234, 358.044
J0826+2637, 111.5, 310.93325462595, 155.467
J0826+2637, 196.5, 180.90662087328, 90.453
J0826+2637, 421.0, 41.45776728346, 31.093
J0826+2637, 430.0, 62.18665092519, 46.64
J0826+2637, 606.0, 41.45776728346, 31.093
J0826+2637, 1420.0, 28.26665951145, 21.2
J0826+2637, 1420.0, 20.72888364173, 15.547
J0826+2637, 1420.0, 15.07555173944, 7.538
J0826+2637, 1420.0, 47.11109918575, 23.556
J0826+2637, 1665.0, 5.65333190229, 4.24
J0826+2637, 2388.0, 9.42221983715, 7.067
J0826+2637, 4850.0, 1.507555173944, 1.131
J0826+2637, 10690.0, 0.565333190229, 0.424
J0835-4510, 297.2, 5989.1377176324995, 2994.569
J0835-4510, 300.0, 2015.03698911, 1007.518
J0835-4510, 301.2, 6851.125762973999, 3425.563
J0835-4510, 408.0, 2238.9299879, 1679.197
J0835-4510, 408.0, 1679.1974909249998, 1259.398
J0835-4510, 408.7, 2339.6818373554997, 1169.841
J0835-4510, 409.0, 2977.776883907, 1488.888
J0835-4510, 410.2, 2977.776883907, 1488.888
J0835-4510, 466.6, 2026.2316390494998, 1013.116
J0835-4510, 467.7, 2440.433686811, 1220.217
J0835-4510, 468.0, 2238.9299879, 1119.465
J0835-4510, 628.4, 3257.6431323945, 1628.822
J0835-4510, 629.1, 3145.6966329995, 1572.848
J0835-4510, 636.0, 2238.9299879, 1119.465
J0835-4510, 1409.8, 1074.6863941919999, 537.343
J0835-4510, 1410.5, 1074.6863941919999, 537.343
J0835-4510, 1420.0, 1007.518494555, 503.759
J0835-4510, 1420.0, 1343.3579927399999, 671.679
J0835-4510, 1665.0, 682.8736463094999, 512.155
J0835-4510, 1720.0, 425.39669770099994, 319.048
J0835-4510, 2288.0, 895.5719951599999, 671.679
J0835-4510, 2388.0, 319.04752327575, 239.286
J0835-4510, 2700.0, 257.4769486085, 193.108
J0835-4510, 2700.0, 50.37592472775, 12.594
J0835-4510, 4830.0, 44.778599758, 33.584
J0835-4510, 8078.0, 32.46448482455, 24.348
J0835-4510, 8100.0, 6.045110967329999, 1.511
J0837+0610, 53.0, 2000.3638156532577, 500.091
J0837+0610, 73.8, 1429.6163690363353, 357.404
J0837+0610, 80.0, 1334.62263995704, 667.311
J0837+0610, 81.5, 299.8975579197584, 224.923
J0837+0610, 111.5, 1000.1819078266288, 750.136
J0837+0610, 150.0, 376.834627752576, 282.626
J0837+0610, 151.0, 227.670920933848, 170.753
J0837+0610, 196.5, 439.640399044672, 329.73
J0837+0610, 408.0, 55.7401220217352, 41.805
J0837+0610, 410.0, 78.50721411512, 58.88
J0837+0610, 430.0, 54.955049880584, 41.216
J0837+0610, 430.0, 39.25360705756, 29.44
J0837+0610, 606.0, 32.9730299283504, 24.73
J0837+0610, 922.0, 23.552164234536, 17.664
J0837+0610, 1420.0, 7.850721411512, 5.888
J0837+0610, 1420.0, 10.2059378349656, 7.654
J0837+0610, 1665.0, 3.5328246351804, 2.65
J0837+0610, 2295.0, 1.5701442823024, 0.785
J0946+0951, 53.0, 399.92504189259, 199.963
J0946+0951, 73.8, 190.39711561629002, 95.199
J0946+0951, 80.0, 273.29729514300004, 136.649
J0946+0951, 80.0, 337.06666400970005, 252.8
J0946+0951, 80.0, 910.9909838100001, 683.243
J0946+0951, 111.5, 143.93657544198, 107.952
J0946+0951, 196.5, 34.61765738478, 25.963
J0946+0951, 318.0, 10.931891805720001, 8.199
J0946+0951, 606.0, 1.5031351232865, 1.127
J0953+0755, 53.0, 1600.3783060500148, 1200.284
J0953+0755, 73.8, 1699.1670903740899, 1274.375
J0953+0755, 80.0, 2370.9308237778, 1778.198
J0953+0755, 81.5, 798.2133773385259, 598.66
J0953+0755, 111.5, 1900.6962103952028, 1425.522
J0953+0755, 150.0, 25685.0839242595, 19263.813
J0953+0755, 151.0, 395.1551372963, 296.366
J0953+0755, 196.5, 719.182349879266, 539.387
J0953+0755, 318.0, 395.1551372963, 296.366
J0953+0755, 408.0, 395.1551372963, 296.366
J0953+0755, 410.0, 256.850839242595, 192.638
J0953+0755, 430.0, 509.75012711222695, 382.313
J0953+0755, 606.0, 648.054425165932, 486.041
J0953+0755, 1400.0, 79.03102745925999, 59.273
J0953+0755, 1420.0, 118.54654118888999, 88.91
J0953+0755, 1420.0, 59.273270594444995, 29.637
J0953+0755, 1420.0, 67.176373340371, 33.588
J0953+0755, 1420.0, 39.515513729629994, 19.758
J0953+0755, 1665.0, 53.345943535000494, 40.009
J0953+0755, 2295.0, 23.709308237777996, 11.855
J0953+0755, 2388.0, 21.3383774140002, 5.335
J0953+0755, 2388.0, 25.685083924259498, 6.421
J0953+0755, 2700.0, 31.612410983704, 7.903
J0953+0755, 5000.0, 2.3709308237777997, 0.593
J0953+0755, 5000.0, 3.1612410983704, 0.79
J0953+0755, 8078.0, 1.9757756864815, 1.482
J1136+1551, 53.0, 930.2027494149975, 697.652
J1136+1551, 73.8, 659.980955241048, 494.986
J1136+1551, 80.0, 841.8124429095, 420.906
J1136+1551, 81.5, 299.685229675782, 224.764
J1136+1551, 111.5, 649.879205926134, 487.409
J1136+1551, 150.0, 277.79810616013503, 208.349
J1136+1551, 151.0, 336.7249771638, 252.544
J1136+1551, 196.5, 469.731343143501, 352.299
J1136+1551, 318.0, 84.18124429095, 63.136
J1136+1551, 408.0, 101.01749314914001, 75.763
J1136+1551, 410.0, 101.01749314914001, 25.254
J1136+1551, 430.0, 219.7130475993795, 54.928
J1136+1551, 606.0, 200.35136141246102, 50.088
J1136+1551, 992.0, 58.926871003665, 44.195
J1136+1551, 1400.0, 49.666934131660504, 37.25
J1136+1551, 1420.0, 25.254373287285002, 18.941
J1136+1551, 1420.0, 21.0453110727375, 10.523
J1136+1551, 1420.0, 51.350559017479505, 25.675
J1136+1551, 1420.0, 30.305247944742, 15.153
J1136+1551, 1665.0, 2.77798106160135, 2.083
J1136+1551, 2295.0, 16.83624885819, 8.418
J1136+1551, 2388.0, 14.90008023949815, 3.725
J1136+1551, 2388.0, 13.21645535367915, 3.304
J1136+1551, 2650.0, 21.0453110727375, 15.784
J1136+1551, 2700.0, 13.9740865522977, 3.494
J1136+1551, 4850.0, 1.5152623972371, 1.136
