PSRJ,PTA_SRC,REF_SH,GL,GB,P0,P1,DM,DM_ERR,DMEPOCH,RM,RM_ERR,RM_SNG,L_FRAC,L_FRAC_ERR,V_FRAC,V_FRAC_ERR,ABS_V_FRAC,ABS_V_FRAC_ERR,TOA_ERR_NEW,SPIND,SPIND_ERR,NOBS,S1400,S1400_ERR,FLUX_0_VAL,FLUX_1_VAL,FLUX_2_VAL,FLUX_3_VAL,FLUX_4_VAL,FLUX_5_VAL,FLUX_6_VAL,FLUX_7_VAL,FLUX_0_ERR,FLUX_1_ERR,FLUX_2_ERR,FLUX_3_ERR,FLUX_4_ERR,FLUX_5_ERR,FLUX_6_ERR,FLUX_7_ERR,FLUX_0_FRQ,FLUX_1_FRQ,FLUX_2_FRQ,FLUX_3_FRQ,FLUX_4_FRQ,FLUX_5_FRQ,FLUX_6_FRQ,FLUX_7_FRQ
J0023+0923,False,hrm+11,111.383,-52.849,0.0030502031047543897,1.142345e-20,14.3216,0.0006,59032.172522,-5.098482280579892,0.9482318810773792,False,0.29768227875020475,0.020051115891884567,0.03455098520854124,0.02318531715131368,0.03065890075044926,0.02318531715131368,0.4920074430093813,-1.4,0.7,6,0.73,0.12,1.3,1.3,0.8,0.7,0.9,0.8,0.8,0.5,0.4,0.5,0.3,0.4,0.3,0.3,0.3,0.2,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J0030+0451,True,lzb+00,113.141,-57.611000000000004,0.0048654532114961,1.0172e-20,4.33294,0.00011,58806.921266,1.3215705023213415,0.12658524576348135,False,0.3332645228169364,0.02002880636566841,0.008868646973028091,0.0215499885705184,0.023775269138915932,0.0215499885705184,0.9072096733818862,-2.4,0.2,33,1.09,0.03,2.8,2.2,1.8,1.46,1.22,1.03,0.89,0.76,0.4,0.2,0.2,0.13,0.08,0.06,0.05,0.04,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J0034-0534,False,bhl+94,111.488,-68.065,0.001877182022,-4.26e-19,13.748,0.002,58754.994824,,,True,-0.003938073253321635,0.020480080896941914,-0.027528160342898383,0.04028894646346564,0.029299280142572208,0.04028894646346564,2.4855894461374617,-1.0,0.9,6,0.21,0.05,0.7,0.26,0.23,0.3,0.3,0.3,0.22,0.16,0.3,0.04,0.06,0.2,0.2,0.2,0.15,0.09,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J0101-6422,True,kcj+12,301.192,-52.72,0.00257315197182,6.2000000000000004e-21,11.921,0.0004,58806.95821799999,18.488850598020075,10.222660521460993,False,0.20647517139661475,0.02080667102625188,0.01785026337237841,0.05576805353048396,0.010153621215919858,0.05576805353048396,1.9848931037264423,-1.4,0.5,8,0.156,0.011,0.4,0.29,0.19,0.15,0.16,0.16,0.14,0.13,0.2,0.06,0.04,0.03,0.03,0.02,0.02,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J0125-2327,True,mess+20,188.93200000000002,-81.569,0.0036753748844546,1.8448e-20,9.5974,0.0003,58755.019024,4.784165623238328,0.07251667170692329,False,0.3370701489619788,0.020003391227146054,-0.026256287511924683,0.020274961306832758,0.02460341374557831,0.020274961306832758,0.1886939581442197,-1.0,0.2,39,2.49,0.12,3.7,3.2,2.9,2.9,2.8,2.6,2.3,2.0,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J0154+1833,False,mgf+19,143.185,-41.81,0.0023645697763006,2.919e-21,19.7983,0.00014,58963.283413,-21.871149181659984,0.5988751399035067,True,0.3017654362139562,0.021380123855458358,-0.00694404648401642,0.06072581086473765,0.013164382171691896,0.06072581086473765,0.8894096782015455,-1.7,0.8,6,0.11,0.02,0.26,0.14,0.17,0.22,0.06,0.13,0.15,0.13,0.08,0.06,0.07,0.09,0.02,0.09,0.1,0.07,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J0348+0432,False,lbr+13,183.33700000000002,-36.774,0.0391226569017806,2.4075e-19,40.464,0.007,59034.27787799999,48.274367088900995,0.2620089244309857,False,0.2805649421414986,0.020108291914491976,-0.12842006556112845,0.028580266658802693,0.11457270142888155,0.028580266658802693,1.6490501465408374,-1.8,0.3,6,0.67,0.04,1.4,1.15,0.91,0.78,0.73,0.8,0.51,0.47,0.2,0.12,0.09,0.1,0.11,0.1,0.08,0.1,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J0407+1607,False,lxf+05,176.618,-25.656,0.025701739194630004,7.9e-20,35.593,0.006,58807.094464,,,True,0.03703996029327247,0.020323975931163352,0.05565876317129336,0.03346198420316614,0.05034510323989293,0.03346198420316614,14.351573368895526,-2.5,0.2,6,0.35,0.02,0.9,0.95,0.59,0.42,0.39,0.38,0.23,0.32,0.07,0.11,0.04,0.04,0.06,0.06,0.05,0.05,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J0437-4715,True,jlh+93,253.395,-41.963,0.005757,5.73e-20,2.6411,0.0002,59263.81488,0.15475802117974438,0.018069703719592205,False,0.252470929161713,0.02000014926768806,-0.05496938515278558,0.02508527882385728,0.12607585894291062,0.02508527882385728,0.008690960851453742,-1.78,0.11,74,126.0,2.0,242.3,215.74,187.67,160.0,140.0,123.0,109.0,95.0,17.3,13.66,11.05,8.0,7.0,6.0,5.0,4.0,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J0453+1559,False,dsm+13,184.125,-17.137,0.045781816872951,1.8612000000000003e-19,30.298000000000002,0.002,59034.308137,-35.26717439154203,0.32223677515029125,False,0.1998745865511524,0.020176006105419825,-0.0011814344884503113,0.03068563657119588,0.011480618810522359,0.03068563657119588,1.8112859822449348,-1.3,0.3,6,0.33,0.02,0.49,0.46,0.47,0.36,0.37,0.31,0.26,0.25,0.06,0.04,0.03,0.05,0.07,0.04,0.05,0.06,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J0509+0856,False,mgf+19,192.486,-17.930999999999997,0.0040558382315644,4.412e-21,38.3271,0.0008,59095.215942999996,44.14003998657663,0.2812256344178178,False,0.2175085502303015,0.02011305350341801,0.02360738684145404,0.022218664601835927,0.02606660663949899,0.022218664601835927,1.5623057340967328,-2.19,0.09,6,1.47,0.03,3.46,2.78,2.21,2.01,1.71,1.39,1.19,0.99,0.11,0.15,0.1,0.06,0.07,0.05,0.1,0.06,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J0557+1550,False,skl+15,192.68400000000003,-4.309,0.0025563670767829,7.352e-21,102.57,0.0012,59095.225274000004,25.60442403163761,1.0480119681427165,False,0.2729711793000252,0.02372717377461105,0.03177831314156242,0.10682391158378599,0.004424204650086736,0.10682391158378599,3.845803587976198,-2.0,0.3,6,0.067,0.005,0.14,0.125,0.1,0.096,0.078,0.063,0.057,0.043,0.02,0.011000000000000001,0.013999999999999999,0.015,0.011000000000000001,0.01,0.013999999999999999,0.009000000000000001,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
